course_id,review_platform,title,school,area,subject,provider,price,level,course_length,effort_hours,published_time,time,session_open,review count,review rating,indegree,outdegree,degree,eigenvector,transitivity,constraint,closeness,betweenness,performace (t),performance (t+1),low rating ratio,mid rating ratio,high rate ratio,helpfulness score (ratio),avg. review length,url
CourseTalk-1,CourseTalk,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,Massachusetts Institute of Technology,Physical Science and Engineering,Engineering,edX,30,Introductory,8,3,2,3,FALSE,5,5,2,1,3,1.52E-05,4.93E-05,0.555594974,0,606.8333333,25,40,0,0,1,0.4,269.8,36498
CourseTalk-1,CourseTalk,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,Massachusetts Institute of Technology,Physical Science and Engineering,Engineering,edX,30,Introductory,8,3,2,4,TRUE,8,5,1,1,2,1.87E-05,7.48E-05,0.500219353,2.39E-17,160,40,NA,0,0,1,0,665.25,36498
CourseTalk-2,CourseTalk,First Nights: Beethoven¡¯s 9th Symphony and the 19th Century Orchestra,Harvard University,Arts and Humanities,Music,edX,16,Introductory,3,2.5,3,3,TRUE,6,5,3,2,5,1.52E-05,4.93E-05,0.280039419,5.25E-17,7312.833333,30,0,0,0,1,0,335,51341
CourseTalk-4,CourseTalk,Behavioral Economics in Action,University of Toronto,Business,Business & Management,edX,30,Introductory,6,4.5,1,3,TRUE,3,5,1,1,2,1.51E-05,4.93E-05,0.500039419,0,3235.166667,15,33,0,0,1,0,333.3333333,14133
CourseTalk-4,CourseTalk,Behavioral Economics in Action,University of Toronto,Business,Business & Management,edX,30,Introductory,6,4.5,1,4,FALSE,7,4.714285714,2,2,4,1.89E-05,7.48E-05,0.250219353,0.000154869,810,33,NA,0,0,1,0,553.1428571,14133
CourseTalk-7,CourseTalk,Learn to Program Using Python,University of Texas Arlington,Computer Science,Computer Science,edX,1,Introductory,9,7,3,3,TRUE,12,4,1,0,1,1.52E-05,0,1.000039419,0,0,48,35.5,0.166666667,0.083333333,0.75,0.166666667,245.3333333,45518
CourseTalk-9,CourseTalk,Paradox and Infinity,Massachusetts Institute of Technology,Arts and Humanities,Philosophy & Ethics,edX,19,Introductory,10,4.5,2,3,TRUE,9,4.888888889,0,0,0,4.93E-06,0,0,0,0,44,0,0,0,1,0,569.5555556,45342
CourseTalk-10,CourseTalk,Introduction to Psychology,St. Margaret¡¯s Episcopal School,Life Sciences,Biology & Life Sciences,edX,33,Introductory,10,4.5,2,3,TRUE,5,5,1,1,2,1.49E-05,4.93E-05,0.500039419,1.08E-17,4553,25,0,0,0,1,0,202.8,27188
CourseTalk-12,CourseTalk,China (Part 3): Cosmopolitan Tang: Aristocratic Culture,Harvard University,Arts and Humanities,History,edX,49,Introductory,4,2.5,1,4,FALSE,1,5,1,1,2,1.16E-05,7.48E-05,1.000219353,4.26E-17,0,5,NA,0,0,1,0,185,14421
CourseTalk-15,CourseTalk,Foundations of Development Policy: Advanced Development Economics,Massachusetts Institute of Technology,Business,Economics & Finance,edX,30,Intermediate,12,12,3,4,TRUE,4,4.75,0,0,0,1.16E-05,0,0,4.92E-17,0,19,NA,0,0,1,0,255.25,82884
CourseTalk-16,CourseTalk,Nutrition and Health Part 2: Micronutrients and Malnutrition,Wageningen University,Life Sciences,Food & Nutrition,edX,1,Intermediate,7,7,NA,3,NA,22,4.772727273,0,0,0,4.93E-06,0,0,0,0,105,0,0.045454545,0,0.954545455,0,395.9545455,45517
CourseTalk-21,CourseTalk,International Law,null,Social Sciences,Law,edX,7,Advanced,8,6,2,2,TRUE,13,4.538461538,2,1,3,4.44E-05,2.70E-05,0.555702683,1.38E-13,360,59,193,0,0.076923077,0.923076923,0,253.3846154,78566
CourseTalk-21,CourseTalk,International Law,null,Social Sciences,Law,edX,7,Advanced,8,6,2,3,TRUE,40,4.825,0,0,0,4.93E-06,0,0,0,0,193,60,0,0.075,0.925,0.05,430.125,78566
CourseTalk-21,CourseTalk,International Law,null,Social Sciences,Law,edX,7,Advanced,8,6,2,4,TRUE,13,4.615384615,0,0,0,1.16E-05,0,0,4.92E-17,0,60,NA,0,0.153846154,0.846153846,0,534.7692308,78566
CourseTalk-22,CourseTalk,DemoX,null,Social Sciences,Education & Teacher Training,edX,NA,Introductory,NA,1,NA,2,NA,30,4.883333333,0,0,0,1.36E-05,0,0,1.06E-17,0,146.5,172,0,0.033333333,0.966666667,0.2,191.2666667,34575
CourseTalk-22,CourseTalk,DemoX,null,Social Sciences,Education & Teacher Training,edX,NA,Introductory,NA,1,NA,3,NA,42,4.095238095,0,0,0,4.93E-06,0,0,0,0,172,215,0.047619048,0.166666667,0.785714286,0.166666667,230.7142857,34575
CourseTalk-22,CourseTalk,DemoX,null,Social Sciences,Education & Teacher Training,edX,NA,Introductory,NA,1,NA,4,NA,50,4.3,1,1,2,1.16E-05,7.48E-05,1.000219353,3.58E-17,0,215,NA,0.06,0.08,0.86,0,191.92,34575
CourseTalk-23,CourseTalk,The Science of Happiness,"University of California, Berkeley",Social Sciences,Social Sciences,edX,30,Introductory,8,4.5,2,2,TRUE,47,4.574468085,4,5,9,4.81E-05,2.70E-05,0.185332313,1.37E-05,3183.6838,215,144,0.021276596,0.063829787,0.914893617,0.212765957,387.106383,69880
CourseTalk-23,CourseTalk,The Science of Happiness,"University of California, Berkeley",Social Sciences,Social Sciences,edX,30,Introductory,8,4.5,2,3,TRUE,33,4.363636364,2,1,3,1.55E-05,4.93E-05,0.555594974,0,6365.583333,144,112,0.090909091,0.090909091,0.818181818,0.212121212,389.8787879,69880
CourseTalk-23,CourseTalk,The Science of Happiness,"University of California, Berkeley",Social Sciences,Social Sciences,edX,30,Introductory,8,4.5,2,4,TRUE,23,4.869565217,1,1,2,1.18E-05,7.48E-05,0.500219353,2.67E-17,4,112,NA,0,0,1,0,579.9565217,69880
CourseTalk-25,CourseTalk,Digital Branding and Engagement,Curtin University,Business,Business & Management,edX,52,Intermediate,4,3.5,3,3,TRUE,59,4.449152542,1,1,2,1.54E-05,4.93E-05,0.500039419,0,251,262.5,38,0.050847458,0.06779661,0.881355932,0.372881356,366.5084746,80768
