,url,index,course_id,review_platform,title,provider,school,published_time,effort_hours(perWeek).,level,price,enrollment_type,course_length,subject,area,value_lead,value_lead.log,value_lead.norm,between,bet_rank,trans,trans_rank,mix_rank,mix_rank.norm,title
227,https://www.class-central.com/mooc/2161/coursera-learning-how-to-learn-powerful-mental-tools-to-help-you-master-tough-subjects,5697,classCentral-2366,classCentral,Learning How to Learn: Powerful mental tools to help you master tough subjects,Coursera,"University of California, San Diego",2,3.5,NA,49,FREE audit/Pay for certificate,4,Personal Development,Personal Development,3143,8.053251154,0.475347952,0.153542762,1022,0.073917066,828,1850,1,Learning How to Learn: Powerful mental tools to help you master tough subjects
970,https://www.class-central.com/mooc/835/coursera-machine-learning,5691,classCentral-2360,classCentral,Machine Learning,Coursera,Stanford University,0,6,NA,79,FREE audit/Pay for certificate,11,Machine Learning,Data Science,578.0000001,6.361302478,0.087416918,0.032109834,1021,0.198015527,826,1847,0.998376623,Machine Learning
135,https://www.class-central.com/mooc/1712/coursera-the-data-scientist-s-toolbox,5561,classCentral-2230,classCentral,The Data Scientist¡¯s Toolbox,Coursera,Johns Hopkins University,1,2.5,NA,49,FREE audit/Pay for certificate,4,Data Analysis,Data Science,96.00000011,4.57471098,0.014519156,0.029096382,1020,0.215731385,823,1843,0.996212121,The Data Scientist¡¯s Toolbox
622,https://www.class-central.com/mooc/418/coursera-introduction-to-philosophy,5776,classCentral-2445,classCentral,Introduction to Philosophy,Coursera,University of Edinburgh,NA,1.5,NA,49,FREE audit/Pay for certificate,5,Philosophy,Arts and Humanities,79.0000001,4.382026636,0.011948073,0.022973382,1019,0.256262049,820,1839,0.994047619,Introduction to Philosophy
54,https://www.class-central.com/mooc/1341/edx-introduction-to-computer-science-and-programming-using-python,3504,classCentral-173,classCentral,Introduction to Computer Science and Programming Using Python,edX,Massachusetts Institute of Technology,1,15,Introductory,49,FREE audit/Pay for certificate,9,Computer Science,Computer Science,215.0000001,5.375278408,0.032516736,0.020277005,1018,0.206937244,824,1842,0.995670996,Introduction to Computer Science and Programming Using Python
391,https://www.class-central.com/mooc/3026/edx-big-data-analysis-with-apache-spark,4604,classCentral-1273,classCentral,Big Data Analysis with Apache Spark,edX,"University of California, Berkeley",2,7.5,Intermediate,99,FREE audit/Pay for certificate,4,Data Analysis & Statistics,Data Science,50.0000001,3.931825635,0.007562108,0.01604828,1017,0.248410081,822,1839,0.994047619,Big Data Analysis with Apache Spark
603,https://www.class-central.com/mooc/408/coursera-an-introduction-to-interactive-programming-in-python-part-1,5553,classCentral-2222,classCentral,An Introduction to Interactive Programming in Python (Part 1),Coursera,Rice University,0,8.5,NA,49,FREE audit/Pay for certificate,5,Software Development,Computer Science,845.0000002,6.74051936,0.127798043,0.015623311,1016,0.291651518,810,1826,0.987012987,An Introduction to Interactive Programming in Python (Part 1)
136,https://www.class-central.com/mooc/1713/coursera-r-programming,5618,classCentral-2287,classCentral,R Programming,Coursera,Johns Hopkins University,1,8,Intermediate,49,FREE audit/Pay for certificate,4,Data Analysis,Data Science,98.0000001,4.595119851,0.014821637,0.015085119,1015,0.285014744,814,1829,0.988636364,R Programming
875,https://www.class-central.com/mooc/563/coursera-calculus-one,4927,classCentral-1596,classCentral,Calculus One,Coursera,Ohio State University,NA,8,NA,NA,NA,16,Math and Logic,Math and Logic,50.0000001,3.931825635,0.007562108,0.014546572,1014,0.458328285,727,1741,0.941017316,Calculus One
995,https://www.class-central.com/mooc/911/coursera-moralities-of-everyday-life,5146,classCentral-1815,classCentral,Moralities of Everyday Life,Coursera,Yale University,1,10,NA,49,FREE audit/Pay for certificate,6,Psychology,Social Sciences,78.0000001,4.369447854,0.011796833,0.014248573,1013,0.407279462,764,1777,0.960497835,Moralities of Everyday Life
