"","node1","node2","cluster"
"1","https://www.class-central.com/mooc/1527/edx-entrepreneurship-101-who-is-your-customer","https://www.class-central.com/mooc/848/coursera-initiation-a-la-programmation-en-c","1"
"2","https://www.class-central.com/mooc/1527/edx-entrepreneurship-101-who-is-your-customer","https://www.class-central.com/mooc/423/coursera-digital-signal-processing","1"
"3","https://www.class-central.com/mooc/848/coursera-initiation-a-la-programmation-en-c","https://www.class-central.com/mooc/423/coursera-digital-signal-processing","1"
"4","https://www.class-central.com/mooc/354/coursera-introduction-to-sociology","https://www.class-central.com/mooc/3649/edx-introduction-to-sociology","2"
"5","https://www.class-central.com/mooc/354/coursera-introduction-to-sociology","https://www.class-central.com/mooc/495/coursera-climate-change","2"
"6","https://www.class-central.com/mooc/3649/edx-introduction-to-sociology","https://www.class-central.com/mooc/495/coursera-climate-change","2"
"7","https://www.class-central.com/mooc/2024/edx-anatomyx-musculoskeletal-cases","https://www.class-central.com/mooc/1523/edx-mobile-application-experiences-part-1-from-a-domain-to-an-app-idea","3"
"8","https://www.class-central.com/mooc/2024/edx-anatomyx-musculoskeletal-cases","https://www.class-central.com/mooc/1648/edx-introduction-to-biomedical-imaging","3"
"9","https://www.class-central.com/mooc/1523/edx-mobile-application-experiences-part-1-from-a-domain-to-an-app-idea","https://www.class-central.com/mooc/1648/edx-introduction-to-biomedical-imaging","3"
"10","https://www.class-central.com/mooc/941/edx-china-part-1-political-and-intellectual-foundations-from-the-sage-kings-to-confucius-and-the-legalists","https://www.class-central.com/mooc/1843/edx-visualizing-postwar-tokyo-part-2","4"
"11","https://www.class-central.com/mooc/1845/edx-china-part-4-literati-china-examinations-and-neo-confucianism","https://www.class-central.com/mooc/1843/edx-visualizing-postwar-tokyo-part-2","4"
"12","https://www.class-central.com/mooc/1617/edx-china-part-2-the-creation-and-end-of-centralized-empire","https://www.class-central.com/mooc/1843/edx-visualizing-postwar-tokyo-part-2","4"
"13","https://www.class-central.com/mooc/1986/edx-china-part-6-the-manchus-and-the-qing-dynasty","https://www.class-central.com/mooc/1843/edx-visualizing-postwar-tokyo-part-2","4"
"14","https://www.class-central.com/mooc/2468/edx-china-part-8-creating-modern-china-the-birth-of-a-nation","https://www.class-central.com/mooc/1843/edx-visualizing-postwar-tokyo-part-2","4"
"15","https://www.class-central.com/mooc/2467/edx-china-part-7-invasions-rebellions-and-the-fall-of-imperial-china","https://www.class-central.com/mooc/1843/edx-visualizing-postwar-tokyo-part-2","4"
"16","https://www.class-central.com/mooc/2469/edx-china-part-9-china-and-communism","https://www.class-central.com/mooc/1843/edx-visualizing-postwar-tokyo-part-2","4"
"17","https://www.class-central.com/mooc/1773/edx-china-part-3-cosmopolitan-tang-aristocratic-culture","https://www.class-central.com/mooc/1843/edx-visualizing-postwar-tokyo-part-2","4"
"18","https://www.class-central.com/mooc/2470/edx-china-part-10-greater-china-today-the-people-s-republic-taiwan-and-hong-kong","https://www.class-central.com/mooc/1843/edx-visualizing-postwar-tokyo-part-2","4"
"19","https://www.class-central.com/mooc/5068/coursera-calculus-single-variable-part-2-differentiation","https://www.class-central.com/mooc/5070/coursera-calculus-single-variable-part-4-applications","5"
"20","https://www.class-central.com/mooc/5068/coursera-calculus-single-variable-part-2-differentiation","https://www.class-central.com/mooc/5069/coursera-calculus-single-variable-part-3-integration","5"
"21","https://www.class-central.com/mooc/5068/coursera-calculus-single-variable-part-2-differentiation","https://www.class-central.com/mooc/5066/coursera-calculus-single-variable-part-1-functions","5"
"22","https://www.class-central.com/mooc/5070/coursera-calculus-single-variable-part-4-applications","https://www.class-central.com/mooc/5069/coursera-calculus-single-variable-part-3-integration","5"
"23","https://www.class-central.com/mooc/5070/coursera-calculus-single-variable-part-4-applications","https://www.class-central.com/mooc/5066/coursera-calculus-single-variable-part-1-functions","5"
"24","https://www.class-central.com/mooc/5069/coursera-calculus-single-variable-part-3-integration","https://www.class-central.com/mooc/5066/coursera-calculus-single-variable-part-1-functions","5"
"25","https://www.class-central.com/mooc/1178/coursera-programming-mobile-applications-for-android-handheld-systems-part-1","https://www.class-central.com/mooc/1704/coursera-programming-cloud-services-for-android-handheld-systems","6"
"26","https://www.class-central.com/mooc/3076/coursera-programming-mobile-applications-for-android-handheld-systems-part-2","https://www.class-central.com/mooc/1704/coursera-programming-cloud-services-for-android-handheld-systems","6"
"27","https://www.class-central.com/mooc/1704/coursera-programming-cloud-services-for-android-handheld-systems","https://www.class-central.com/mooc/3077/coursera-programming-mobile-services-for-android-handheld-systems-concurrency","6"
"28","https://www.class-central.com/mooc/1704/coursera-programming-cloud-services-for-android-handheld-systems","https://www.class-central.com/mooc/3078/coursera-programming-mobile-services-for-android-handheld-systems-communication","6"
"29","https://www.class-central.com/mooc/1704/coursera-programming-cloud-services-for-android-handheld-systems","https://www.class-central.com/mooc/3079/coursera-programming-cloud-services-for-android-handheld-systems-spring","6"
"30","https://www.class-central.com/mooc/1704/coursera-programming-cloud-services-for-android-handheld-systems","https://www.class-central.com/mooc/3080/coursera-programming-cloud-services-for-android-handheld-systems-security","6"
"31","https://www.class-central.com/mooc/667/coursera-soren-kierkegaard-subjectivity-irony-and-the-crisis-of-modernity","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","7"
"32","https://www.class-central.com/mooc/3477/coursera-magic-in-the-middle-ages","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","7"
"33","https://www.class-central.com/mooc/980/coursera-reason-and-persuasion-thinking-through-three-dialogues-by-plato","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","7"
"34","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/353/coursera-greek-and-roman-mythology","7"
"35","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/1391/coursera-understanding-violence","7"
"36","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/653/coursera-classics-of-chinese-humanities-guided-readings","7"
"37","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/911/coursera-moralities-of-everyday-life","7"
"38","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/2900/coursera-psychological-first-aid","7"
"39","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/2027/edx-leaders-of-learning","7"
"40","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/1928/edx-anthropology-of-current-world-issues","7"
"41","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/608/edx-the-challenges-of-global-poverty","7"
"42","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/2079/edx-humanity-and-nature-in-chinese-thought","7"
"43","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/926/edx-introduction-to-philosophy-god-knowledge-and-consciousness","7"
"44","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/610/edx-justice","7"
"45","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/1332/edx-the-science-of-everyday-thinking","7"
"46","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/941/edx-china-part-1-political-and-intellectual-foundations-from-the-sage-kings-to-confucius-and-the-legalists","7"
"47","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/1845/edx-china-part-4-literati-china-examinations-and-neo-confucianism","7"
"48","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/1617/edx-china-part-2-the-creation-and-end-of-centralized-empire","7"
"49","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/1986/edx-china-part-6-the-manchus-and-the-qing-dynasty","7"
"50","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/2468/edx-china-part-8-creating-modern-china-the-birth-of-a-nation","7"
"51","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/810/edx-ideas-of-the-twentieth-century","7"
"52","https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics","https://www.class-central.com/mooc/3603/edx-paradox-and-infinity","7"
